feature_id	name	feature_class	county	map_name	lat	lon	source_lat	source_lon
1504454	Devils Eye	Arch	Whitman	Granite Point	46.580625	-117.274543		
1505296	Grenville Arch	Arch	Grays Harbor	Taholah	47.295638	-124.284350		
1510467	Hole-in-the-Wall	Arch	Clallam	La Push	47.941738	-124.651328		
1521942	Lava Bridge	Arch	Klickitat	Guler Mountain	45.962341	-121.597025		
1679046	Look-Through Rock	Arch	Clallam	Cape Flattery	48.383673	-124.725800		
1528610	Natural Bridge	Arch	Pierce	Sunrise	46.949829	-121.742876		
1531318	Sanctuary Arch	Arch	Lewis	Hamilton Buttes	46.474837	-121.606196		
1527051	The Natural Bridge	Arch	Stevens	Wellington Peak	48.361563	-118.065818		
1514744	Boca De Alava	Area	Clallam	Ozette	48.182007	-124.708293		
1509840	Bull Town	Area	Whitman	Honn Lakes	46.960435	-117.944944		
1517957	Coleman Weedpatch	Area	Lewis	Walupt Lake	46.394840	-121.446749		
1518402	Cultus Hole	Area	Yakima	Fairview Ridge	46.478730	-121.127855		
1518708	Devils Gardens	Area	Yakima	Mount Adams East	46.226232	-121.464527		
1518711	Devils Hole	Area	Klickitat	The Dalles North	45.683176	-121.227294		
1514935	Devils Playground	Area	Skagit	Cypress Island	48.618716	-122.737402		
1518877	Dorr Fumarole Field	Area	Whatcom	Mount Baker	48.791787	-121.805700		
1510219	Dry Island	Area	Grant	Smyrna	46.855135	-119.737818		
1510378	Egypt	Area	Lincoln	Inkster Lake	47.856825	-118.250816		
1514642	Elbow Bend	Area	Ferry	Lincoln	47.872657	-118.461940		
1511592	Grandview Water Shed	Area	Yakima	Grandview	46.275965	-119.891427		
1520579	Hartbauer Orchard	Area	Stevens	Leadpoint	48.927138	-117.583030		
1505457	Hells Kitchen	Area	Kittitas	Ginkgo	46.955409	-120.011165		
1529967	Horse Heaven	Area	Okanogan	Slate Peak	48.635413	-120.732330		
1521084	Huntington Berry Patch	Area	Lewis	Ohanapecosh Hot Springs	46.655113	-121.548142		
1533043	Indian Henrys Hunting Ground	Area	Pierce	Mount Rainier West	46.793442	-121.836488		
1528450	Langes Crest	Area	Skamania	Spirit Lake West	46.262332	-122.178986		
1510546	McGregor Lakes	Area	Whitman	Palouse Falls	46.716259	-118.169406		
1509765	Morgan Slope	Area	King	Black Diamond	47.318990	-122.011781		
1514643	No-Outlet Sand Hills	Area	Grant	Moses Lake South	47.049864	-119.281688		
1513022	Olympic Beaches	Area	Grays Harbor	Copalis Beach	47.080364	-124.173509		
1524553	Pole Patch	Area	Skamania	French Butte	46.359002	-121.896756		
1524597	Pot Holes	Area	Stevens	Marcus	48.720183	-118.006098		
1528443	Pumice Plain	Area	Skamania	Spirit Lake West	46.252251	-122.184874		
1530442	Queets Corridor	Area	Jefferson	Salmon River East	47.594250	-124.095743		
1528447	Sasquatch Steps	Area	Skamania	Mount Saint Helens	46.228434	-122.184091		
1528914	Scott Prairie	Area	Mason	Matlock	47.153149	-123.451550		
1530565	Skagit Delta	Area	Skagit	Utsalady	48.353992	-122.387381		
1528485	Suttens Meadow	Area	Okanogan	Mount Annie	48.704883	-119.005317		
1514895	Tatugh	Area	Kitsap	Bremerton East	47.544820	-122.502075		
1527022	The Badlands	Area	Chelan	Big Jim Mountain	47.678174	-120.800371		
1529177	The Burn	Area	Lewis	Tatoosh Lakes	46.745666	-121.630646		
1533632	The Burn	Area	Klickitat	Sundale NW	45.730683	-120.397549		
1508975	The Potholes	Area	Grant	Mae	47.002686	-119.424774		
1528445	The Spillover	Area	Skamania	Spirit Lake West	46.274832	-122.178986		
1510582	Thunder Field	Area	Clallam	Quillayute Prairie	47.912017	-124.602158		
1514755	Tomar	Area	Benton	Juniper	45.968466	-119.053340		
1513031	Twin Harbors Beaches	Area	Grays Harbor	Grayland	46.838703	-124.106839		
1502933	Ackerman Bar	Bar	Asotin	Lewiston Orchards South	46.268296	-116.983790		
1533334	Alden Bank	Bar	Whatcom	Lummi Bay OE W	48.828719	-122.830740		
1510243	Allen Bank	Bar	Kitsap	Duwamish Head	47.523987	-122.469296		
1502997	Allen Bar	Bar	Douglas	Trefry Canyon	48.049871	-119.366427		
2702142	Argyle Shoal	Bar	San Juan	Shaw Island	48.506500	-122.994000		
1503096	Bachelor Island Shoal	Bar	Clark	Saint Helens	45.826504	-122.788991		
2791399	Bainbridge Reef	Bar	Kitsap	Bremerton East	47.568848	-122.516684		
1503136	Bakers Reef	Bar	Whatcom	Lummi Island	48.683717	-122.678234		
1531384	Barnacle Rock	Bar	San Juan	Lopez Pass	48.418433	-122.872954		
1531922	Belle Rock	Bar	San Juan	Lopez Pass	48.493158	-122.752677		
1503388	Bishop Bar	Bar	Whitman	Granite Point	46.569326	-117.285727		
1528810	Bissell Flats	Bar	Stevens	Inchelium	48.257948	-118.136376		
1531900	Blakely Island Shoal	Bar	San Juan	Blakely Island	48.570658	-122.842680		
1510449	Blakely Rock	Bar	Kitsap	Duwamish Head	47.595098	-122.480409		
1503491	Boulder Reef	Bar	Skagit	Lummi Island	48.634731	-122.690612		
1516966	Broad Spit	Bar	Jefferson	Quilcene	47.810092	-122.815718		
1503611	Buckeye Shoal	Bar	Skagit	Cypress Island	48.623994	-122.730180		
1503619	Buckley Bar	Bar	Douglas	Sanderson Creek	48.055709	-119.013358		
1503626	Buenna Bar	Bar	Douglas	Bridgeport	48.087924	-119.686167		
1503844	Case Shoal	Bar	Jefferson	Lofall	47.848704	-122.672099		
1503848	Cassimer Bar	Bar	Okanogan	Bridgeport	48.094035	-119.704223		
1503889	Center Reef	Bar	San Juan	Stuart Island	48.635655	-123.161578		
1503949	Chibahdehl Rocks	Bar	Clallam	Cape Flattery	48.393953	-124.676075		
1514694	Chicken Rock	Bar	San Juan	Richardson	48.449266	-122.962955		
1503964	China Bar	Bar	Benton	Priest Rapids NE	46.626245	-119.781705		
1517718	China Bar	Bar	Stevens	China Bend	48.822964	-117.932210		
1503977	Chuckanut Rock	Bar	Whatcom	Bellingham South	48.684830	-122.500725		
1503985	City of Seattle Rock	Bar	Skagit	Cypress Island	48.516215	-122.635451		
1504014	Clements Reef	Bar	San Juan	Sucia Island	48.775384	-122.887408		
1510394	Coffin Rocks	Bar	Skagit	Deception Pass	48.413158	-122.662672		
1504092	Colvos Rocks	Bar	Jefferson	Port Ludlow	47.949258	-122.667102		
1518192	Cougar Spit	Bar	Mason	Lilliwaup	47.408056	-123.107222		
1504265	Crescent Bar	Bar	Grant	Babcock Ridge	47.204576	-119.996166		
1504311	Cypress Reef	Bar	Skagit	Cypress Island	48.615938	-122.720735		
1518460	Dallas Bank	Bar	Jefferson	Gardiner OE N	48.130094	-122.942396		
1531432	Danger Rock	Bar	San Juan	Shaw Island	48.521211	-122.971290		
1531690	Danger Rock	Bar	San Juan	Waldron Island	48.664268	-123.067131		
1504319	Danger Shoal	Bar	San Juan	Stuart Island	48.638988	-123.181578		
1504332	Davis Bar	Bar	Whitman	Almota	46.667659	-117.434905		
1531595	Decatur Reef	Bar	Kitsap	Duwamish Head	47.581209	-122.473464		
1504442	Dennis Shoal	Bar	Skagit	Deception Pass	48.458158	-122.714619		
1528863	Dosewallips Flats	Bar	Jefferson	Brinnon	47.693981	-122.887937		
1531686	Dot Rock	Bar	San Juan	Lopez Pass	48.494824	-122.796288		
1504587	Duncan Rock	Bar	Clallam	Cape Flattery	48.408117	-124.742191		
1504708	Eliza Rock	Bar	Skagit	Eliza Island	48.643440	-122.577117		
1504724	Ellen Sands	Bar	Pacific	Bay Center	46.667875	-123.972389		
1510441	Elwha Rock	Bar	San Juan	Shaw Island	48.591769	-122.912125		
1504755	Empire Spit	Bar	Pacific	Bay Center	46.704263	-124.000446		
1504837	Father and Son	Bar	Clallam	Ozette	48.226172	-124.713297		
1514769	Fritz Point	Bar	San Juan	Friday Harbor	48.620379	-123.030462		
1519947	Gibson Spit	Bar	Clallam	Sequim	48.087870	-123.041842		
1513570	Giffin Rocks	Bar	San Juan	Eastsound	48.677882	-122.884073		
1513330	Gold Dust Rock	Bar	Skamania	Bonneville Dam	45.682061	-121.886469		
1530515	Grafitti Bar	Bar	Stevens	China Bend	48.809630	-117.947766		
1505243	Graveyard Spit	Bar	Pacific	North Cove	46.712040	-124.024336		
1505325	Gull Reef	Bar	San Juan	Stuart Island	48.654545	-123.146578		
1510402	Gull Rocks	Bar	Skagit	Deception Pass	48.414825	-122.660172		
1510403	Halftide Rocks	Bar	San Juan	Richardson	48.477043	-122.999900		
1505385	Harbor Rock	Bar	San Juan	Richardson	48.468432	-122.970178		
1505386	Harbor Rock	Bar	San Juan	Eastsound	48.630102	-122.977683		
1510324	Hastings Bar	Bar	Garfield	Central Ferry	46.673210	-117.755204		
1514758	Hedley Spit	Bar	Kitsap	Suquamish	47.708708	-122.514301		
1531385	Hope Reef	Bar	San Juan	Richardson	48.473988	-122.999900		
1514865	Hornbecks Spit	Bar	Kitsap	Bremerton East	47.622597	-122.510133		
1510337	Hump Island	Bar	Cowlitz	Coal Creek	46.163167	-123.067338		
1533571	Indian Bar	Bar	Pierce	Mount Rainier East	46.826776	-121.643981		
1505761	Island Shoal	Bar	Douglas	Trefry Canyon	48.062649	-119.329203		
1505764	Itsami Ledge	Bar	Thurston	Longbranch	47.172040	-122.837082		
1505865	Jones Rock	Bar	Clallam	Cape Flattery	48.387006	-124.731634		
1505927	Kellett Ledge	Bar	San Juan	Lopez Pass	48.450657	-122.786288		
1505933	Kelly Bar	Bar	Garfield	Granite Point	46.548771	-117.264892		
1505955	Kessiso Rocks	Bar	Clallam	Cape Flattery	48.382562	-124.731634		
1531886	Keystone Spit	Bar	Island	Coupeville	48.157319	-122.670999		
1505985	King Spit	Bar	Kitsap	Poulsbo	47.719815	-122.748768		
1510406	Klas Rock	Bar	Jefferson	Port Ludlow	47.962313	-122.671269		
1506010	Klootchman Rock	Bar	Island	Oak Harbor	48.251489	-122.652391		
1521780	Kuhn Spit	Bar	Jefferson	Port Townsend South	48.057870	-122.769612		
2054474	Lake Sacajawea Bar	Bar	Franklin	Snake River	46.413194	-118.649712		
1506112	Lawson Reef	Bar	Island	Deception Pass	48.402324	-122.714341		
1506113	Lawson Rock	Bar	San Juan	Blakely Island	48.530936	-122.788789		
2663356	Leo Reef	Bar	San Juan	Blakely Island	48.552950	-122.856417		
1506281	Long Island Shoal	Bar	Pacific	Nemah	46.544266	-123.969885		
1522408	Long Spit	Bar	Jefferson	Quilcene	47.841203	-122.807941		
1506388	Lydia Shoal	Bar	San Juan	Blakely Island	48.601215	-122.779069		
1514794	Manette Penninsula	Bar	Kitsap	Hansville	47.895094	-122.557369		
1529433	Marcus Flats	Bar	Stevens	Marcus	48.642958	-118.094713		
1506529	McArthur Bank	Bar	San Juan		48.372838	-122.904049		
1531675	McGuire Shoal	Bar	Columbia	Starbuck East	46.574313	-118.062173		
1514747	Memaloose Rock	Bar	Cowlitz	Oak Point	46.190944	-123.167342		
1506649	Midchannel Bank	Bar	Jefferson	Nordland	48.113150	-122.708222		
1506650	Middle Bank	Bar	San Juan	False Bay	48.405652	-123.106847		
2788014	Middle Grounds	Bar	Pacific	Cape Disappointment	46.267547	-124.052900		
1506671	Middle Rock	Bar	Jefferson	Destruction Island	47.746744	-124.451590		
1514637	Minnesota Reef	Bar	San Juan	Shaw Island	48.527600	-122.974346		
1506814	Mouatt Reef	Bar	San Juan	Waldron Island	48.684825	-123.044076		
1506906	Mushroom Rock	Bar	Clallam	Cape Flattery	48.390340	-124.713022		
1506959	Nemah Spit	Bar	Pacific	Nemah	46.567321	-123.957941		
1510568	Nespelem Bar	Bar	Douglas	Armstrong Creek	48.134599	-119.052805		
1507088	North Pacific Rock	Bar	San Juan	Richardson	48.469821	-122.996567		
1507098	North Rock	Bar	Jefferson	Destruction Island	47.749244	-124.476035		
1507180	Olympia Shoal	Bar	Thurston	Tumwater	47.091485	-122.922086		
1507189	One Reef	Bar	Clark	Camas	45.568452	-122.409814		
1507222	Ough Reef	Bar	Clark	Washougal	45.573730	-122.357591		
1507308	Parker Reef	Bar	San Juan	Eastsound	48.725938	-122.894352		
1507316	Partridge Bank	Bar	Island	Smith Island	48.255654	-122.848508		
1524270	Peacock Spit	Bar	Pacific	Cape Disappointment	46.271766	-124.094599		
1502913	Penawawa Bar	Bar	Whitman	Ping	46.700989	-117.714091		
1507382	Perkins Reef	Bar	Jefferson	Toleak Point	47.773688	-124.504648		
1507708	Rainier Bar	Bar	Cowlitz	Rainier	46.090113	-122.907610		
1530512	Reflector Bar	Bar	Whatcom	Diablo Dam	48.713462	-121.142066		
1507775	Reid Rock	Bar	San Juan	Shaw Island	48.548989	-122.992402		
1502915	Revere Bar	Bar	Columbia	Delaney	46.586815	-117.966054		
1507793	Rice Bar	Bar	Garfield	Ping	46.696823	-117.662421		
1507800	Riddle Spit	Bar	Pacific	Nemah	46.568987	-123.980719		
1531677	Rock Island	Bar	Jefferson	Lofall	47.865371	-122.640430		
1514686	Rock Point	Bar	San Juan	Richardson	48.496489	-122.942122		
1514741	Sah-da-ped-thl	Bar	Clallam	Cape Flattery	48.389231	-124.668019		
1507998	Sail Rock	Bar	Clallam	Neah Bay	48.359237	-124.545510		
1508046	Salmon Bank	Bar	San Juan	Richardson	48.423154	-122.976288		
1508093	Sand Island Shoal	Bar	Grays Harbor	Westport	46.953423	-124.065172		
1508108	Sandy Hook	Bar	Kitsap	Suquamish	47.700929	-122.582085		
1508125	Satus Bar	Bar	Yakima	Sunnyside	46.262075	-120.110324		
1508160	Schultz Bar	Bar	Whitman	Wades Bar	46.682103	-117.522966		
1508185	Seal Rock	Bar	Clallam	Neah Bay	48.362848	-124.548566		
1534456	Semiahmoo Spit	Bar	Whatcom	Birch Point	48.985111	-122.782955		
1508223	Sentinel Rock	Bar	San Juan	Stuart Island	48.639822	-123.157133		
1508251	Shark Reef	Bar	San Juan	Richardson	48.474822	-122.947122		
1531694	Shirt Tail Reef	Bar	San Juan	Friday Harbor	48.588434	-123.025738		
1512866	Silver Spit	Bar	Thurston	Tumwater	47.124540	-122.925142		
1513205	Sisters	Bar	Jefferson	Lofall	47.859815	-122.639597		
1530605	Six Mile Bar (historical)	Bar	Stevens	Marcus	48.714349	-118.034433		
